Time,Magnitude
4870,1.002732
4871,1.002290
4872,1.006613
4873,1.005017
4874,1.005496
4875,1.004077
4876,1.002607
4877,1.005648
4878,1.004217
4879,1.001628
4880,1.003132
4881,1.000782
4882,0.997315
4883,0.997820
4884,1.000143
4885,1.001170
4886,1.007420
4887,1.012812
4888,1.016719
4889,1.018809
4890,1.016291
4891,1.009962
4892,1.002914
4893,0.999923
4894,0.998347
4895,0.999193
4896,1.004186
4897,1.004721
4898,1.003192
4899,1.007730
4900,1.007489
4901,1.005106
4902,1.005008
4903,1.001251
4904,1.003652
4905,1.002659
4906,1.003239
4907,1.006023
4908,1.002267
4909,1.003250
4910,1.005656
4911,1.005097
4912,1.004140
4913,1.004238
4914,1.005150
4915,1.007075
4916,1.005577
4917,1.006239
4918,1.006127
4919,1.004210
4920,1.007590
4921,1.007028
4922,1.006686
4923,1.003723
4924,1.005109
4925,1.002236
4926,1.005632
4927,1.004130
4928,1.003228
4929,1.002209
4930,1.002723
4931,1.004764
4932,1.002220
4933,1.002799
4934,1.001824
4935,1.002220
4936,1.004150
4937,1.003246
4938,1.003295
4939,1.006180
4940,1.004194
4941,1.004713
4942,1.005216
4943,1.006776
4944,1.008998
4945,1.004682
4946,1.002723
4947,1.002751
4948,1.002816
4949,1.003250
4950,1.002695
4951,1.006296
4952,1.006727
4953,1.005125
4954,1.001365
4955,1.002751
4956,1.002300
4957,1.004729
4958,1.008584
4959,1.009032
4960,1.004343
4961,10.773246
4962,1.013858
4963,1.009285
4964,1.002676
4965,0.998869
4966,1.004640
4967,1.000698
4968,1.007025
4969,1.013702
4970,1.029128
4971,1.029055
4972,1.007501
4973,0.998939
4974,1.002712
